id,year,teams,total_pitchers,average_age,runs_per_game,ERA,games_played,games_finished,complete_game,shutouts,shutouts_team,saves,innings_pitched,hits,runs,earned_runs,home_runs,walks,intentional_walks,strikeouts,hit_batter,balks,wild_pitches,batters_faced,WHIP,BA_bip,hits_9,homeruns_9,walks_9,strikeouts_9,strikeout_walk,errors
1,2021,30,909,28.7,4.53,4.26,4858,4808,50,29,299,1191,42615,39484,22010,20162,5944,15794,703,42145,2112,155,1862,181818,1.297,0.292,8.3,1.3,3.3,8.9,2.67,2626
2,2020,30,735,28.3,4.65,4.44,1796,1767,29,12,99,422,15468.2,14439,8344,7638,2304,6092,202,15586,821,63,675,66506,1.327,0.292,8.4,1.3,3.5,9.1,2.56,1037
3,2019,30,831,28.4,4.83,4.49,4858,4813,45,26,268,1180,43423.1,42039,23467,21684,6776,15895,753,42823,1984,153,1788,186517,1.334,0.298,8.7,1.4,3.3,8.9,2.69,2898
4,2018,30,799,28.4,4.45,4.14,4862,4820,42,19,312,1244,43489,41018,21630,20025,5585,15686,929,41207,1922,151,1847,185139,1.304,0.296,8.5,1.2,3.2,8.5,2.63,2792
5,2017,30,755,28.5,4.65,4.35,4860,4801,59,27,261,1179,43257,42215,22582,20911,6105,15829,970,40104,1763,155,1810,185295,1.342,0.3,8.8,1.3,3.3,8.3,2.53,2817
6,2016,30,742,28.3,4.48,4.18,4856,4773,83,36,276,1276,43306.1,42276,21744,20124,5610,15088,932,38982,1651,148,1808,184580,1.325,0.3,8.8,1.2,3.1,8.1,2.58,2835
7,2015,30,735,28.4,4.25,3.95,4858,4754,104,51,339,1292,43407.2,42106,20647,19075,4909,14073,951,37446,1602,141,1758,183628,1.294,0.299,8.7,1,2.9,7.8,2.66,2830
8,2014,30,692,28.5,4.07,3.74,4860,4742,118,65,353,1264,43613.2,41595,19761,18107,4186,14020,985,37441,1652,128,1696,183929,1.275,0.299,8.6,0.9,2.9,7.7,2.67,2914
9,2013,30,679,28.4,4.17,3.86,4862,4738,124,57,331,1266,43653.1,42093,20255,18728,4661,14640,1018,36710,1536,128,1736,184873,1.3,0.297,8.7,1,3,7.6,2.51,2747
10,2012,30,662,28.4,4.32,4.01,4860,4732,128,69,310,1261,43355.1,42063,21017,19301,4934,14709,1055,36426,1494,165,1542,184179,1.309,0.297,8.7,1,3.1,7.6,2.48,3009
11,2011,30,662,28.3,4.28,3.94,4858,4685,173,75,323,1243,43527.1,42267,20808,19032,4552,15018,1231,34488,1554,169,1558,185245,1.316,0.295,8.7,0.9,3.1,7.1,2.3,3053
12,2010,30,635,28.4,4.38,4.07,4860,4695,165,59,329,1204,43305.1,42554,21308,19595,4613,15778,1216,34306,1549,182,1674,185553,1.347,0.297,8.8,1,3.3,7.1,2.17,3030
13,2009,30,664,28.4,4.61,4.31,4860,4708,152,63,273,1202,43272,43524,22419,20731,5042,16620,1179,33591,1590,138,1600,187079,1.39,0.299,9.1,1,3.5,7,2.02,2857
14,2008,30,651,28.6,4.65,4.32,4856,4720,136,54,271,1184,43357.2,43972,22585,20790,4878,16337,1310,32884,1672,153,1576,187631,1.391,0.3,9.1,1,3.4,6.8,2.01,2965
15,2007,30,666,28.7,4.8,4.46,4862,4750,112,43,243,1198,43425.2,44977,23322,21529,4957,16079,1323,32189,1755,139,1498,188623,1.406,0.303,9.3,1,3.3,6.7,2,2988
16,2006,30,635,28.8,4.86,4.52,4858,4714,144,63,260,1201,43258,45073,23599,21722,5386,15847,1410,31655,1817,145,1522,188071,1.408,0.301,9.4,1.1,3.3,6.6,2,3067
17,2005,30,606,29.2,4.59,4.28,4862,4673,189,63,261,1254,43232.1,43991,22325,20562,5017,15207,1216,30644,1797,161,1439,186292,1.369,0.295,9.2,1,3.2,6.4,2.02,3060
18,2004,30,632,29.1,4.81,4.46,4856,4706,150,69,251,1230,43394,44522,23376,21483,5451,16222,1381,31828,1850,157,1478,188539,1.4,0.297,9.2,1.1,3.4,6.6,1.96,3166
19,2003,30,612,28.7,4.73,4.39,4860,4651,209,72,259,1198,43335.1,44057,22978,21153,5207,15889,1316,30801,1849,158,1546,187449,1.383,0.294,9.1,1.1,3.3,6.4,1.94,3171
20,2002,30,609,28.8,4.62,4.27,4852,4638,214,87,275,1224,43269,43272,22408,20527,5059,16246,1452,31394,1746,160,1494,186615,1.376,0.293,9,1.1,3.4,6.5,1.93,3225
21,2001,30,591,28.7,4.78,4.41,4858,4659,199,74,229,1210,43287.1,43879,23199,21215,5458,15806,1384,32404,1890,151,1484,186976,1.379,0.296,9.1,1.1,3.3,6.7,2.05,3357
22,2000,30,606,28.8,5.14,4.76,4858,4624,234,72,204,1178,43244.1,45246,24971,22876,5693,18237,1210,31356,1573,161,1518,190261,1.468,0.3,9.4,1.2,3.8,6.5,1.72,3447
23,1999,30,585,28.8,5.08,4.7,4856,4619,237,64,193,1217,43211.1,45327,24691,22554,5528,17891,1107,31119,1579,177,1632,189692,1.463,0.302,9.4,1.2,3.7,6.5,1.74,3508
24,1998,30,557,28.8,4.79,4.42,4864,4562,302,101,244,1265,43434.2,44489,23297,21352,5064,16447,1067,31893,1587,205,1603,188280,1.403,0.3,9.2,1,3.4,6.6,1.94,3444
25,1997,28,534,28.5,4.77,4.38,4532,4266,266,89,211,1139,40454,41471,21604,19695,4640,15666,1169,29937,1449,188,1482,175541,1.412,0.301,9.2,1,3.5,6.7,1.91,3237
26,1996,28,538,28.4,5.04,4.6,4534,4244,290,84,196,1116,40560.2,42320,22831,20741,4962,16093,1343,29308,1404,197,1553,177261,1.44,0.301,9.4,1.1,3.6,6.5,1.82,3356
27,1995,28,552,28.3,4.85,4.45,4034,3759,275,88,204,1006,36032,36975,19554,17800,4081,14240,1105,25425,1219,199,1414,156703,1.421,0.298,9.2,1,3.6,6.4,1.79,2911
28,1994,28,470,28.6,4.92,4.5,3200,2945,255,69,143,777,28586.1,29743,15752,14304,3306,11131,1008,19766,876,174,1162,124483,1.43,0.3,9.4,1,3.5,6.2,1.78,2360
29,1993,28,507,28.5,4.6,4.18,4538,4167,371,99,220,1192,40507,41088,20864,18813,4030,15110,1477,26310,1200,298,1473,174564,1.387,0.294,9.1,0.9,3.4,5.8,1.74,3483
30,1992,26,441,28.6,4.12,3.74,4212,3793,419,146,298,1109,37829.2,36544,17341,15710,3038,13682,1315,23538,980,219,1296,160545,1.328,0.285,8.7,0.7,3.3,5.6,1.72,3057
31,1991,26,475,28.3,4.31,3.91,4208,3842,366,107,272,1132,37769.2,36558,18127,16390,3383,13984,1228,24390,905,241,1391,160746,1.338,0.285,8.7,0.8,3.3,5.8,1.74,3131
32,1990,26,483,28.4,4.26,3.85,4210,3781,429,140,260,1113,37563.2,36817,17919,16079,3317,13852,1384,23853,861,288,1355,160316,1.349,0.287,8.8,0.8,3.3,5.7,1.72,3180
33,1989,26,449,28.6,4.13,3.7,4212,3729,483,152,292,1069,37715,36293,17405,15516,3083,13528,1446,23650,801,407,1286,160033,1.321,0.283,8.7,0.7,3.2,5.6,1.75,3352
34,1988,26,438,28.5,4.14,3.72,4200,3578,622,182,292,1049,37667.2,36244,17380,15589,3180,12984,1367,23355,918,924,1262,159380,1.307,0.282,8.7,0.8,3.1,5.6,1.8,3243
35,1987,26,426,28.4,4.72,4.28,4210,3649,561,138,212,971,37574.2,37895,19883,17877,4458,14389,1287,25099,842,356,1333,161922,1.391,0.289,9.1,1.1,3.4,6,1.74,3298
36,1986,26,416,28.3,4.41,3.96,4206,3627,579,139,236,1004,37674.1,36880,18545,16587,3813,14227,1289,24706,812,289,1323,160858,1.357,0.286,8.8,0.9,3.4,5.9,1.74,3450
37,1985,26,413,28.3,4.33,3.89,4206,3579,627,163,257,977,37658.2,36778,18216,16271,3602,13838,1337,22451,699,227,1140,160320,1.344,0.281,8.8,0.9,3.3,5.4,1.62,3424
38,1984,26,393,28.3,4.26,3.81,4210,3578,632,151,254,993,37704.2,37381,17921,15941,3258,13320,1270,22500,668,283,1129,160566,1.345,0.286,8.9,0.8,3.2,5.4,1.69,3527
39,1983,26,390,28.5,4.31,3.86,4218,3473,745,180,248,977,37742,37443,18170,16187,3301,13518,1379,21716,717,266,1076,160615,1.35,0.285,8.9,0.8,3.2,5.2,1.61,3498
40,1982,26,376,28.5,4.3,3.85,4214,3480,734,161,238,932,37878.1,37651,18110,16222,3379,13302,1319,21221,677,256,1091,161104,1.345,0.284,8.9,0.8,3.2,5,1.6,3452
41,1981,26,360,28.3,4,3.58,2788,2278,510,135,220,605,25095,24157,11147,9982,1781,8868,895,13237,464,181,715,105892,1.316,0.279,8.7,0.6,3.2,4.7,1.49,2304
42,1980,26,379,28,4.29,3.83,4210,3354,856,189,264,902,37861.1,38144,18053,16126,3087,13190,1435,20212,657,257,1031,161210,1.356,0.287,9.1,0.7,3.1,4.8,1.53,3609
43,1979,26,390,27.8,4.46,3.99,4196,3283,913,175,237,840,37478.1,37911,18713,16617,3433,13601,1366,20035,754,166,1146,160378,1.374,0.286,9.1,0.8,3.3,4.8,1.47,3631
44,1978,26,369,27.6,4.1,3.68,4204,3170,1034,238,305,804,37496.2,36508,17251,15316,2956,13566,1338,20058,772,273,1054,159192,1.335,0.28,8.8,0.7,3.3,4.8,1.48,3618
45,1977,26,371,27.4,4.47,3.99,4206,3299,907,176,238,845,37739,38037,18803,16726,3644,13757,1297,21722,791,235,1166,161545,1.372,0.287,9.1,0.9,3.3,5.2,1.58,3710
46,1976,24,325,27.5,3.99,3.51,3878,2839,1039,261,325,683,34925.2,33598,15492,13620,2235,12391,1156,18745,684,176,1047,147598,1.317,0.281,8.7,0.6,3.2,4.8,1.51,3459
47,1975,24,339,27.6,4.21,3.7,3868,2816,1052,223,266,669,34724,33863,16295,14271,2699,13402,1338,19280,761,204,1158,148621,1.361,0.282,8.8,0.7,3.5,5,1.44,3710
48,1974,24,344,27.6,4.12,3.62,3890,2801,1089,227,286,517,34942.1,33969,16046,14044,2649,12963,1353,19495,774,186,1086,148855,1.343,0.282,8.7,0.7,3.3,5,1.5,3595
49,1973,24,330,27.5,4.21,3.74,3886,2825,1061,236,293,819,34878.2,34010,16376,14487,3102,13100,1357,20358,755,95,1199,148789,1.351,0.281,8.8,0.8,3.4,5.3,1.55,3447
50,1972,24,339,27.2,3.69,3.26,3718,2709,1009,295,357,733,33450.1,30434,13706,12109,2534,11727,1378,20718,751,92,1069,139958,1.26,0.272,8.2,0.7,3.2,5.6,1.77,3154
51,1971,24,343,27.1,3.89,3.46,3876,2794,1082,265,315,689,34767,32547,15073,13380,2863,12536,1396,20956,821,97,1115,146700,1.297,0.276,8.4,0.7,3.2,5.4,1.67,3125
52,1970,24,363,27.1,4.34,3.88,3888,3036,852,188,234,878,34858.2,33555,16880,15027,3429,13727,1464,22374,825,128,1249,149324,1.356,0.281,8.7,0.9,3.5,5.8,1.63,3327
53,1969,24,360,27.1,4.07,3.61,3892,2910,982,242,300,745,34890.2,32581,15850,13986,3119,13429,1436,22473,882,131,1284,148192,1.319,0.276,8.4,0.8,3.5,5.8,1.67,3430
54,1968,20,287,27.2,3.42,2.98,3250,2353,897,279,339,601,29233.2,25710,11109,9687,1995,9156,1223,19143,778,83,1007,120823,1.193,0.269,7.9,0.6,2.8,5.9,2.09,2762
55,1967,20,315,27.2,3.77,3.3,3240,2458,782,226,274,649,29184.1,26464,12210,10711,2299,9665,1295,19413,751,101,985,121848,1.238,0.274,8.2,0.7,3,6,2.01,2733
56,1966,20,310,27.4,3.99,3.52,3230,2494,736,194,246,666,29044,27207,12900,11363,2743,9331,1088,18805,682,96,1039,121688,1.258,0.276,8.4,0.8,2.9,5.8,2.02,2860
57,1965,20,299,27.7,3.99,3.5,3246,2507,739,191,243,674,29182.1,26952,12946,11345,2688,10036,1130,19283,720,72,1046,122763,1.267,0.274,8.3,0.8,3.1,5.9,1.92,2845
58,1964,20,311,27.7,4.04,3.58,3252,2455,797,221,269,669,29138.1,27669,13124,11592,2762,9621,1015,19212,694,65,979,122993,1.28,0.279,8.5,0.9,3,5.9,2,2847
59,1963,20,299,28,3.95,3.46,3238,2373,865,234,275,588,29105.1,27043,12780,11186,2704,9591,933,18773,714,194,914,122356,1.259,0.273,8.4,0.8,3,5.8,1.96,2924
60,1962,20,304,27.7,4.46,3.96,3242,2398,844,168,199,616,29005,28521,14461,12748,3001,10936,818,17567,709,92,949,124551,1.36,0.281,8.8,0.9,3.4,5.5,1.61,2919
61,1961,18,254,27.6,4.53,4.03,2860,2115,745,154,173,501,25453.1,25066,12942,11390,2730,9897,732,14952,573,63,780,109572,1.374,0.279,8.9,1,3.5,5.3,1.51,2673
62,1960,16,238,27.6,4.31,3.82,2472,1807,665,140,159,430,22203.1,21434,10664,9417,2128,8384,730,12817,488,55,604,94776,1.343,0.277,8.7,0.9,3.4,5.2,1.53,2169
63,1959,16,243,27.9,4.38,3.9,2476,1734,742,158,171,387,22100.1,21636,10853,9587,2250,8184,707,12606,496,60,557,94722,1.349,0.277,8.8,0.9,3.3,5.1,1.54,2224
64,1958,16,250,28,4.28,3.86,2470,1727,743,132,145,410,22049.2,21621,10578,9458,2241,8127,680,12228,499,70,526,94149,1.349,0.277,8.8,0.9,3.3,5,1.5,2085
65,1957,16,249,28,4.31,3.83,2470,1760,710,139,153,391,22344.1,21865,10636,9517,2202,8175,740,11964,511,46,480,95395,1.344,0.275,8.8,0.9,3.3,4.8,1.46,2119
66,1956,16,241,28.5,4.45,3.96,2478,1720,758,127,137,365,22095,21653,11031,9734,2294,9000,783,11507,481,43,492,95233,1.387,0.274,8.8,0.9,3.7,4.7,1.28,2252
67,1955,16,258,28.2,4.49,4,2468,1720,748,159,178,362,22011,21610,11069,9781,2225,9048,736,10825,506,36,477,95024,1.393,0.272,8.8,0.9,3.7,4.4,1.2,2224
68,1954,16,225,28.5,4.38,3.9,2472,1632,840,166,176,358,22126.2,21908,10827,9581,1937,9033,759,10215,441,45,402,95541,1.398,0.275,8.9,0.8,3.7,4.2,1.13,2274
69,1953,16,218,29.2,4.61,4.14,2480,1616,864,156,169,344,22032,22459,11426,10134,2076,8689,581,10218,487,50,464,95421,1.414,0.28,9.2,0.8,3.5,4.2,1.18,2252
70,1952,16,236,29.2,4.18,3.7,2478,1530,948,179,193,306,22206,21267,10349,9137,1701,8787,705,10394,483,40,405,94809,1.353,0.271,8.6,0.7,3.6,4.2,1.18,2273
71,1951,16,220,28.9,4.55,4.04,2478,1540,938,165,174,277,22208.1,22191,11268,9969,1863,9258,528,9341,449,65,442,96005,1.416,0.275,9,0.8,3.8,3.8,1.01,2400
